iter	Passed	Remaining
417	3271	4554
418	3277	4544
419	3282	4533
420	3296	4533
421	3305	4528
422	3324	4534
423	3340	4538
424	3350	4533
425	3361	4529
426	3366	4517
427	3377	4513
428	3383	4503
429	3388	4491
430	3399	4487
431	3403	4475
432	3413	4470
433	3421	4461
434	3425	4448
435	3430	4437
436	3434	4425
437	3444	4419
438	3454	4413
439	3462	4406
440	3465	4392
441	3472	4384
442	3477	4372
443	3481	4359
444	3484	4346
445	3490	4335
446	3495	4324
447	3499	4312
448	3503	4299
449	3508	4288
450	3511	4275
451	3516	4263
452	3529	4261
453	3536	4253
454	3547	4248
455	3556	4243
456	3568	4240
457	3573	4228
458	3579	4219
459	3583	4206
460	3588	4195
461	3591	4182
462	3601	4177
463	3606	4165
464	3610	4154
465	3616	4144
466	3620	4132
467	3625	4121
468	3631	4111
469	3635	4099
470	3641	4089
471	3644	4076
472	3650	4067
473	3660	4062
474	3671	4058
475	3674	4045
476	3678	4032
477	3683	4023
478	3690	4014
479	3693	4001
480	3700	3992
481	3707	3984
482	3712	3974
483	3717	3963
484	3726	3956
485	3729	3944
486	3734	3934
487	3742	3926
488	3746	3914
489	3752	3906
490	3760	3898
491	3773	3896
492	3790	3898
493	3798	3890
494	3809	3886
495	3818	3880
496	3827	3873
497	3840	3871
498	3849	3864
499	3859	3859
500	3863	3848
501	3869	3838
502	3873	3827
503	3878	3816
504	3890	3813
505	3897	3804
506	3904	3797
507	3915	3792
508	3924	3785
509	3927	3773
510	3931	3762
511	3934	3750
512	3938	3738
513	3945	3730
514	3957	3727
515	3967	3721
516	3973	3712
517	3978	3702
518	3986	3694
519	3994	3687
520	3999	3676
521	4006	3668
522	4016	3662
523	4021	3652
524	4027	3643
525	4036	3637
526	4044	3630
527	4053	3623
528	4063	3617
529	4074	3613
530	4083	3606
531	4094	3602
532	4107	3598
533	4120	3595
534	4132	3591
535	4139	3583
536	4143	3572
537	4147	3561
538	4152	3551
539	4155	3540
540	4159	3528
541	4162	3517
542	4166	3506
543	4169	3494
544	4172	3483
545	4175	3472
546	4179	3460
547	4182	3449
548	4185	3438
549	4188	3427
550	4191	3415
551	4195	3404
552	4198	3393
553	4201	3382
554	4206	3372
555	4211	3363
556	4215	3352
557	4218	3341
558	4222	3330
559	4225	3320
560	4228	3309
561	4234	3299
562	4240	3291
563	4247	3283
564	4254	3275
565	4262	3268
566	4266	3258
567	4270	3247
568	4274	3237
569	4280	3228
570	4288	3221
571	4291	3211
572	4295	3200
573	4298	3190
574	4301	3179
575	4305	3169
576	4308	3158
577	4311	3148
578	4318	3139
579	4325	3132
580	4330	3122
581	4335	3113
582	4338	3103
583	4341	3092
584	4345	3082
585	4348	3072
586	4351	3061
587	4354	3051
588	4358	3041
589	4361	3030
590	4366	3021
591	4369	3011
592	4375	3002
593	4379	2993
594	4385	2985
595	4388	2975
596	4393	2966
597	4397	2956
598	4404	2948
599	4407	2938
600	4410	2928
601	4415	2919
602	4418	2909
603	4423	2900
604	4428	2891
605	4435	2883
606	4440	2875
607	4444	2865
608	4448	2856
609	4452	2846
610	4458	2838
611	4461	2828
612	4466	2819
613	4469	2810
614	4475	2801
615	4485	2795
616	4491	2787
617	4494	2778
618	4498	2768
619	4501	2758
620	4504	2749
621	4507	2739
622	4512	2730
623	4517	2722
624	4527	2716
625	4530	2706
626	4537	2699
627	4541	2690
628	4544	2680
629	4548	2671
630	4553	2663
631	4558	2654
632	4561	2644
633	4567	2636
634	4571	2627
635	4576	2619
636	4584	2612
637	4590	2604
638	4594	2595
639	4597	2585
640	4600	2576
641	4605	2567
642	4609	2559
643	4613	2550
644	4618	2541
645	4622	2532
646	4626	2524
647	4629	2514
648	4633	2506
649	4637	2497
650	4640	2487
651	4644	2478
652	4649	2470
653	4653	2461
654	4661	2455
655	4668	2447
656	4674	2440
657	4682	2433
658	4687	2425
659	4692	2417
660	4698	2409
661	4701	2400
662	4705	2391
663	4709	2382
664	4713	2374
665	4717	2365
666	4722	2357
667	4726	2349
668	4730	2340
669	4734	2332
670	4738	2323
671	4742	2314
672	4749	2307
673	4754	2299
674	4757	2290
675	4761	2282
676	4766	2273
677	4770	2265
678	4774	2257
679	4779	2249
680	4783	2240
681	4787	2232
682	4793	2224
683	4797	2216
684	4802	2208
685	4805	2199
686	4809	2191
687	4812	2182
688	4816	2174
689	4819	2165
690	4823	2157
691	4827	2148
692	4831	2140
693	4834	2131
694	4837	2123
695	4841	2114
696	4845	2106
697	4849	2098
698	4853	2090
699	4858	2082
700	4862	2074
701	4865	2065
702	4869	2057
703	4873	2049
704	4877	2040
705	4880	2032
706	4884	2024
707	4890	2016
708	4894	2009
709	4900	2001
710	4907	1994
711	4911	1986
712	4918	1979
713	4921	1971
714	4925	1963
715	4931	1955
716	4936	1948
717	4941	1940
718	4946	1933
719	4949	1924
720	4953	1916
721	4958	1909
722	4963	1901
723	4967	1893
724	4971	1885
725	4976	1878
726	4980	1870
727	4984	1862
728	4988	1854
729	4993	1846
730	4997	1839
731	5002	1831
732	5006	1823
733	5010	1815
734	5014	1808
735	5018	1800
736	5022	1792
737	5025	1784
738	5029	1776
739	5034	1768
740	5040	1761
741	5044	1754
742	5047	1745
743	5051	1738
744	5055	1730
745	5058	1722
746	5063	1714
747	5068	1707
748	5071	1699
749	5075	1691
750	5080	1684
751	5084	1676
752	5089	1669
753	5093	1661
754	5098	1654
755	5104	1647
756	5108	1639
757	5111	1632
758	5116	1624
759	5122	1617
760	5127	1610
761	5132	1603
762	5137	1595
763	5143	1588
764	5146	1581
765	5150	1573
766	5153	1565
767	5157	1557
768	5161	1550
769	5166	1543
770	5170	1535
771	5175	1528
772	5182	1522
773	5187	1514
774	5193	1507
775	5197	1500
776	5205	1493
777	5215	1488
778	5250	1489
779	5259	1483
780	5265	1476
781	5270	1469
782	5273	1461
783	5277	1453
784	5282	1446
785	5287	1439
786	5290	1431
787	5295	1424
788	5298	1417
789	5305	1410
790	5311	1403
791	5319	1397
792	5323	1389
793	5327	1382
794	5331	1374
795	5334	1367
796	5337	1359
797	5340	1351
798	5344	1344
799	5347	1336
800	5350	1329
801	5354	1321
802	5357	1314
803	5360	1306
