iter	RMSE
151	103925.2104
152	103802.0043
153	103656.6122
154	103508.8612
155	103337.8029
156	103223.5406
157	103121.7503
158	103007.1693
159	102892.9209
160	102727.7521
161	102618.8418
162	102490.8676
163	102309.0411
164	102217.8213
165	102088.4776
166	101988.7286
167	101862.3964
168	101788.7027
169	101665.3259
170	101586.3427
171	101475.3451
172	101346.7899
173	101229.6664
174	101086.9002
175	100921.1668
176	100818.8363
177	100680.7117
178	100541.9027
179	100410.1086
180	100295.3127
181	100139.9759
182	100015.4763
183	99916.41526
184	99788.03972
185	99651.6078
186	99540.7838
187	99385.13138
188	99238.70694
189	99166.02636
190	99060.1536
191	98931.35723
192	98850.68401
193	98736.22803
194	98597.96916
195	98488.33564
196	98380.08218
197	98256.51758
198	98176.8978
199	98074.02556
200	97990.13205
201	97879.37243
202	97699.63947
203	97545.8207
204	97485.78164
205	97387.72903
206	97289.7217
207	97159.18379
208	97074.72355
209	96974.17143
210	96882.49394
211	96748.17928
212	96659.24361
213	96530.57185
214	96450.83167
215	96318.51858
216	96207.81168
217	96088.96026
218	96028.90921
219	95900.45208
220	95825.41894
221	95760.44008
222	95661.73846
223	95564.97918
224	95445.6797
225	95366.09261
226	95241.09717
227	95122.76145
228	95036.8395
229	94959.13067
230	94887.06963
231	94824.04294
232	94757.00072
233	94664.0004
234	94555.44927
235	94483.53269
236	94412.22903
237	94311.62273
238	94261.57268
239	94211.85507
240	94130.9996
241	94021.80264
242	93891.63946
243	93777.69414
244	93680.56357
245	93619.39
246	93557.45858
247	93500.23315
248	93440.00769
249	93394.30209
250	93292.96874
251	93228.32964
252	93159.87014
253	93088.05895
254	93011.53574
255	92890.50442
256	92831.24391
257	92760.91582
258	92662.03973
259	92581.11161
260	92477.39158
261	92403.92434
262	92341.14565
263	92240.00484
264	92168.63189
265	92097.88784
266	92009.14504
267	91946.83355
268	91883.03078
269	91799.0113
270	91745.38238
271	91676.82302
272	91598.25489
273	91553.83027
274	91495.53695
275	91398.96232
276	91312.25348
277	91251.83039
278	91177.56069
279	91112.92316
280	91041.30929
281	90956.8811
282	90913.09383
283	90837.55371
284	90781.50428
285	90720.54583
286	90648.72437
287	90559.93958
288	90496.92772
289	90437.7489
290	90382.0663
291	90305.01767
292	90275.67956
293	90247.83827
294	90167.671
295	90109.18567
296	90053.98866
297	90002.84429
298	89931.05214
299	89870.62498
300	89808.87236
301	89730.60228
302	89672.74999
303	89598.57762
304	89535.74475
305	89466.7443
306	89403.63711
307	89367.41515
308	89290.56285
309	89266.27669
310	89195.0538
311	89138.58214
312	89093.32361
313	89038.37904
314	88973.3215
315	88926.54051
316	88883.01201
317	88835.2405
318	88773.12009
319	88725.80398
320	88663.47631
321	88618.6282
322	88595.03958
323	88524.35948
324	88480.09297
325	88459.08249
326	88396.16639
327	88310.47453
328	88249.79704
329	88193.58638
330	88122.50165
331	88068.51728
332	88017.8365
333	87974.15391
334	87864.93573
335	87804.79096
336	87750.57542
337	87708.88454
338	87639.45007
339	87587.10205
340	87544.56086
341	87501.18576
342	87456.61378
343	87396.98683
344	87360.28793
345	87316.00623
346	87269.72634
347	87197.37211
348	87144.94175
349	87123.44822
350	87055.93299
351	86977.3414
352	86906.74441
353	86838.36393
354	86799.19039
355	86747.34841
356	86690.15235
357	86639.93626
358	86578.61993
359	86531.88771
360	86466.07307
361	86397.9747
362	86337.62621
363	86278.69844
364	86225.70932
365	86155.57508
366	86101.13803
367	86047.29392
368	85975.28661
369	85907.73313
370	85836.18193
371	85778.79055
372	85729.93689
373	85670.1892
374	85634.15324
375	85609.44991
376	85565.00113
377	85498.4641
378	85453.51813
379	85409.35829
380	85369.34671
381	85345.47855
382	85294.32192
383	85263.07818
384	85173.64125
385	85123.37234
386	85079.08178
387	85013.42385
388	84972.91047
389	84938.33689
390	84904.78356
391	84860.93874
392	84795.54535
393	84739.13572
394	84711.6843
395	84682.75239
396	84627.27139
397	84564.74353
398	84493.10509
399	84443.8865
400	84384.34127
401	84331.19832
402	84268.26503
403	84226.61054
404	84160.3244
405	84111.91385
406	84086.45563
407	84037.40515
408	83995.58989
409	83941.36026
410	83908.20055
411	83865.22923
412	83816.65332
413	83781.14762
414	83745.05783
415	83687.58224
416	83595.95402
417	83566.32358
418	83520.45558
419	83478.17466
420	83430.07412
421	83405.8505
422	83356.76429
423	83299.5075
424	83240.28669
425	83212.01836
426	83187.66704
427	83149.95799
428	83107.22371
429	83067.97778
430	83030.87625
431	82974.6212
432	82935.68061
433	82896.3176
434	82848.51749
435	82813.16662
436	82775.46424
437	82730.67599
438	82689.01252
439	82615.81335
440	82561.49233
441	82527.75738
442	82476.20212
443	82439.47638
444	82381.85043
445	82350.48212
446	82306.18465
447	82287.12107
448	82234.73572
449	82211.36798
450	82167.40965
451	82149.78385
452	82099.26987
453	82047.46332
454	81996.17735
455	81961.224
456	81926.50972
457	81858.62635
458	81833.8463
459	81786.77325
460	81750.71361
461	81697.07822
462	81631.12822
463	81588.99297
464	81557.47837
465	81521.92158
466	81478.2239
467	81442.76183
468	81409.14529
469	81374.24589
470	81337.91371
471	81310.95622
472	81267.90064
473	81224.52315
474	81189.94498
475	81142.5038
476	81102.98985
477	81083.27452
478	81053.13871
479	81023.28449
480	80986.60157
481	80954.3274
482	80904.72792
483	80867.99323
484	80842.61887
485	80770.2993
486	80730.65982
487	80689.97271
488	80652.51952
489	80616.62041
490	80581.77383
491	80534.78669
492	80499.35877
493	80449.01254
494	80424.99329
495	80389.13604
496	80363.63414
497	80299.81699
498	80278.41914
499	80245.49526
500	80199.89393
501	80150.48455
502	80114.87121
503	80093.47656
504	80053.36056
505	80017.58306
506	79971.54603
507	79941.14191
508	79906.0817
509	79868.40791
510	79834.14737
511	79787.09156
512	79738.15637
513	79722.05592
514	79692.38207
515	79661.24259
516	79620.39451
517	79580.35096
518	79553.21895
519	79520.60337
520	79453.32522
521	79430.23946
522	79405.52267
523	79360.26323
524	79319.77823
525	79283.67166
526	79245.71134
527	79224.07735
528	79186.00581
529	79157.96858
530	79088.42311
531	79045.19021
532	79013.31163
533	78979.14474
534	78940.89238
535	78927.16689
536	78880.80476
537	78836.74673
538	78798.66514
539	78750.28515
540	78715.45552
541	78694.12917
542	78656.56212
543	78622.43537
544	78568.61585
545	78541.60501
546	78501.00348
547	78473.49917
548	78426.81664
549	78383.85737
550	78362.4253
551	78328.03038
552	78303.92983
553	78265.97006
554	78240.58109
555	78202.96669
556	78169.28439
557	78151.31258
558	78119.79692
559	78085.93434
560	78068.19587
561	78043.48282
562	78008.53917
563	77978.04161
564	77935.5415
565	77897.15308
566	77879.78929
567	77844.30998
568	77822.24546
569	77778.57685
570	77764.04464
571	77741.61759
572	77700.88156
573	77687.03518
574	77672.18704
575	77648.64434
576	77626.99031
577	77571.15089
578	77544.1802
579	77514.72074
580	77484.54619
581	77459.26979
582	77397.08326
583	77364.09704
584	77348.83255
585	77317.08609
586	77297.807
587	77265.79024
588	77232.0002
589	77200.43389
590	77177.71266
591	77131.88595
592	77105.91688
593	77078.36104
594	77047.14239
595	77026.19078
596	77008.94258
597	76979.9835
598	76941.66434
599	76917.03629
600	76899.56397
601	76856.63707
602	76834.57697
603	76812.864
604	76783.22328
605	76753.82747
606	76730.15904
607	76686.47843
608	76646.49808
609	76628.87176
610	76599.31862
611	76567.62572
612	76554.77971
613	76526.75357
614	76488.98577
615	76441.23213
616	76409.83334
617	76372.90126
618	76338.85286
619	76302.50917
620	76282.86002
621	76248.77497
622	76228.6606
623	76198.01691
624	76162.97462
625	76123.24385
626	76090.43465
627	76062.92075
628	76045.67657
629	76032.58096
630	75992.77005
631	75975.34282
632	75949.12922
633	75917.52212
634	75879.17245
635	75846.04255
636	75813.1481
637	75795.54998
638	75746.24205
639	75710.82434
640	75680.59789
641	75673.81581
642	75659.12749
643	75640.73754
644	75617.65941
645	75599.20174
646	75575.58699
647	75547.06559
648	75524.76789
649	75498.51309
650	75479.15598
651	75450.34125
652	75431.71061
653	75396.67859
654	75364.21335
655	75336.92449
656	75305.80906
657	75288.01318
658	75264.86899
659	75241.03217
660	75204.14456
661	75177.43324
662	75144.70395
663	75115.22246
664	75087.08937
665	75038.59851
666	75018.32661
667	74981.11049
668	74957.71873
669	74935.65375
670	74912.14517
671	74886.53971
672	74860.88921
673	74843.86444
674	74814.2573
675	74800.86314
676	74776.90717
677	74738.16367
678	74710.04994
679	74679.61051
680	74632.64762
681	74613.37
682	74589.73758
683	74562.64732
684	74539.88146
685	74513.13997
686	74474.92055
687	74449.89831
688	74426.80102
689	74408.98852
690	74374.27358
691	74349.68393
692	74329.1355
693	74298.87687
694	74281.29507
695	74240.08499
696	74209.49258
697	74184.79189
698	74170.18667
699	74144.35509
700	74128.527
701	74105.41064
702	74091.29079
703	74068.74218
704	74044.64519
705	74026.10435
706	74004.52901
707	73975.42618
708	73956.50995
709	73926.6184
710	73895.02747
711	73864.93707
712	73840.72518
713	73822.0221
714	73806.85448
715	73787.81354
716	73754.75769
717	73732.34259
718	73704.91739
719	73684.06245
720	73658.82154
721	73632.25922
722	73605.35625
723	73577.84681
724	73555.99275
725	73524.3969
726	73490.93359
727	73459.84204
728	73423.01628
729	73389.28608
730	73369.9731
731	73340.31651
732	73319.99215
733	73283.66223
734	73265.10148
735	73231.23002
736	73199.80496
737	73179.98556
738	73134.36609
739	73123.42407
740	73099.48087
741	73080.4487
742	73061.1264
743	73038.63187
744	73008.86229
745	72996.31141
746	72961.82879
747	72940.38041
748	72912.83414
749	72888.32232
750	72862.66642
751	72838.19632
752	72828.39908
753	72794.32449
754	72772.50284
755	72754.44372
756	72726.62743
757	72697.19522
758	72669.03485
759	72649.00968
760	72630.80538
761	72614.79214
762	72580.31131
763	72559.13397
764	72528.36086
765	72510.78898
766	72489.61005
767	72476.20865
768	72448.84152
769	72424.85571
770	72405.83484
771	72374.58335
772	72358.90063
773	72336.9393
774	72312.13944
775	72284.95795
776	72253.51
777	72239.27243
778	72212.01586
779	72190.31659
780	72171.67815
781	72151.63613
782	72125.76761
783	72100.64878
784	72085.78603
785	72065.00822
786	72038.2696
787	72018.80978
788	72004.829
789	71974.34203
790	71951.44262
791	71924.09954
792	71909.50825
793	71898.04729
794	71876.53105
795	71850.81732
796	71829.28238
797	71786.46722
798	71768.39278
799	71746.12425
800	71723.36994
801	71697.53947
802	71671.47942
803	71625.45593
804	71606.06362
805	71581.64754
806	71552.5895
807	71537.70613
808	71511.89297
809	71500.092
810	71484.82683
811	71452.75197
812	71438.28846
813	71424.62972
814	71381.12785
815	71358.46546
816	71334.80167
817	71314.58198
818	71292.73162
819	71266.39155
820	71245.10929
821	71217.56319
822	71202.05597
823	71186.33806
824	71165.05378
825	71131.34907
826	71109.24498
827	71088.36286
828	71070.10703
829	71046.24652
830	71026.80593
831	70993.59959
832	70966.6949
833	70946.24327
834	70928.87338
835	70906.24556
836	70880.61195
837	70873.63692
838	70858.72804
839	70835.40442
840	70809.39074
841	70787.26448
842	70756.44759
843	70729.77317
844	70700.67282
845	70678.9797
846	70661.52811
847	70635.66718
848	70619.78285
849	70591.66964
850	70575.23955
851	70562.32871
852	70536.63917
853	70520.24517
854	70500.4797
855	70473.24858
856	70455.13543
857	70428.21509
858	70417.46734
859	70399.04144
860	70372.58547
861	70352.32941
862	70334.38154
863	70317.66685
864	70298.6122
865	70272.12431
866	70250.34344
867	70227.84967
868	70202.3973
869	70165.85564
870	70142.00274
871	70117.32592
872	70109.03087
873	70098.86663
874	70089.08703
875	70062.40656
876	70030.26959
877	70018.30498
878	69993.76822
879	69970.60048
880	69950.85549
881	69924.18196
882	69891.09282
883	69874.43363
884	69857.24236
885	69841.95309
886	69828.26955
887	69814.75996
888	69797.42556
889	69777.12737
890	69746.85458
891	69723.39932
892	69715.66943
893	69694.74365
894	69665.50347
895	69648.17943
896	69629.63336
897	69595.88791
898	69556.95585
899	69530.74343
900	69521.8635
901	69500.82067
902	69485.93856
903	69461.32839
904	69442.44841
905	69420.42252
906	69411.72271
907	69396.28485
908	69373.01523
909	69362.95956
910	69338.79679
911	69306.3046
912	69283.86882
913	69254.31477
914	69227.23496
915	69207.0211
916	69188.27205
917	69170.71686
918	69144.37599
919	69112.65738
920	69096.68957
921	69078.48712
922	69063.88972
923	69045.52505
924	69035.64146
925	69021.56314
926	69002.26289
927	68974.52662
928	68950.66721
929	68920.78716
930	68903.44932
931	68881.66051
932	68859.23206
933	68838.62396
934	68820.18474
935	68809.37088
936	68788.16239
937	68772.32302
938	68752.32667
939	68738.58544
940	68711.90578
941	68684.13522
942	68658.74874
943	68651.29111
944	68626.89574
945	68616.10043
946	68603.91932
947	68591.59449
948	68571.97211
949	68557.49243
950	68530.56867
951	68514.49648
952	68494.90598
953	68482.15263
954	68460.53444
955	68451.71989
956	68425.71465
957	68411.06651
958	68378.7335
959	68351.68806
960	68336.19521
961	68318.51409
962	68300.90139
963	68293.44755
964	68273.14794
965	68243.78038
966	68224.59124
967	68197.03024
968	68177.28393
969	68163.4311
970	68142.97722
971	68115.2353
972	68097.22539
973	68072.37921
974	68058.18877
975	68041.52501
976	68020.29585
977	68009.35339
978	67987.00721
979	67974.5888
980	67949.35854
981	67933.65961
982	67917.37573
983	67900.09494
984	67868.99844
985	67852.9993
986	67829.34491
987	67823.38897
988	67796.01263
989	67769.5528
990	67745.27325
991	67739.23718
992	67715.75281
993	67705.61275
994	67689.51374
995	67683.5939
996	67658.22834
997	67640.17515
998	67614.78023
999	67596.2367
